"Order ID";"Order type";"Order Number";"Item";"Item file receipt date time";"Confirmation";"Received date time";"Requested quantity";"Picking quantity";"Picking start";"Picking End";"Picked by";"Packing quantity";"Packing Start";"Packing End";"Packed by";"Packing location";"Reason code";"City";"acc. country";"Airway bill no";"Return airway bill no";"Pack id";"Shipment file date time";"Confirmation date time";
"225638546";"539";"1912Y1CEC23933";"1000000165986010";"23/12/19 17:11";"23/12/21 05:03";"23/12/21 05:09";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK04";1.000;"23/12/21 07:14";"23/12/21 07:17";"DHEAEPCK04";"JANE210";"";"RAS AL KHAIMAH";"AE";4086867400;"005068332102";"JD014600011373205540";"23/12/21 05:06";"23/12/21 10:18";
"225638578";"539";"1912Y0F8C23643";"1000000172801763";"23/12/19 17:11";"23/12/21 05:03";"23/12/21 05:09";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK04";1.000;"23/12/21 07:18";"23/12/21 07:21";"DHEAEPCK04";"JANE210";"";"JEDDAH";"SA";4086872985;"005068332371";"JD014600011373206143";"23/12/21 05:07";"23/12/21 10:22";
"225638577";"539";"1912Y12A823933";"1000000169515604";"23/12/19 17:08";"23/12/21 05:03";"23/12/21 05:09";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK04";1.000;"23/12/21 07:22";"23/12/21 07:24";"DHEAEPCK04";"JANE210";"";"ABU DHABI";"AE";4586470254;"005068332566";"JD014600011373206522";"23/12/21 05:07";"23/12/21 10:25";
"225637506";"539";"1712ZO2FR2301H";"1000000132017674";"23/12/19 17:38";"23/12/21 04:32";"23/12/21 04:36";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEOPS04";1.000;"23/12/21 07:23";"23/12/21 07:26";"DHEAEOPS04";"EMAK240";"";"Riyadh";"SA";4586472273;"002820769523";"JD014600011373206901";"23/12/21 04:35";"23/12/21 10:26";
"225638525";"539";"2711ZJBFK2301H";"1000000180627240";"23/12/19 18:36";"23/12/21 05:00";"23/12/21 05:05";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEOPS04";1.000;"23/12/21 07:24";"23/12/21 07:25";"DHEAEOPS04";"ALICE151";"";"Riyadh";"SA";8924447696;"002820769501";"JD014600011371955710";"23/12/21 05:04";"23/12/21 10:26";
"225637660";"539";"1812ZTJ542301H";"1000000150016315";"23/12/19 10:09";"23/12/21 04:34";"23/12/21 04:39";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAESUP04";1.000;"23/12/21 07:23";"23/12/21 07:27";"DHEAESUP04";"SANTI110";"";"Al Khobar";"SA";4586473791;"005068332695";"JD014600011373207067";"23/12/21 04:38";"23/12/21 10:27";
"225638505";"539";"1812YEB8123182";"1000000173071636";"23/12/19 11:09";"23/12/21 04:59";"23/12/21 05:05";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK02";1.000;"23/12/21 07:24";"23/12/21 07:26";"DHEAEPCK02";"TERESI090";"";"ANDALUS";"KW";8924449251;"005068332651";"JD014600011371955873";"23/12/21 05:02";"23/12/21 10:27";
"225639287";"539";"1812YF4FC23642";"1000000175950272";"23/12/19 17:11";"23/12/21 05:50";"23/12/21 05:54";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK01";1.000;"23/12/21 07:25";"23/12/21 07:27";"DHEAEPCK01";"ROHIT080";"";"AL QASSIM";"SA";8924450323;"005068332706";"JD014600011371955988";"23/12/21 05:53";"23/12/21 10:28";
"225638564";"539";"1912Y188323643";"1000000171350252";"23/12/19 17:11";"23/12/21 05:03";"23/12/21 05:09";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK04";1.000;"23/12/21 07:24";"23/12/21 07:29";"DHEAEPCK04";"JANE210";"";"RAS TANURA";"SA";4586476742;"005068332813";"JD014600011373207392";"23/12/21 05:07";"23/12/21 10:29";
"225638535";"539";"1812Y004B23183";"1000000178350731";"23/12/19 11:08";"23/12/21 04:59";"23/12/21 05:05";1.000;1.000;"00/00/00 00:00";"00/00/00 00:00";"DHEAEPCK02";1.000;"23/12/21 07:28";"23/12/21 07:31";"DHEAEPCK02";"TERESI090";"";"SHUHADA";"KW";4586479391;"002820769766";"JD014600011373207708";"23/12/21 05:04";"23/12/21 10:31";
